botdetectionids,botscore,botscoresrc,bottags,clientcountry,clientip,clientrequesthost,clientrequestmethod,clientrequestpath,clientrequesturi,date,edgeendtimestamp,edgeresponsestatus,edgestarttimestamp,originresponsestatus,rayid
null,null,null,null,hu,45.12.132.94,api.granilink.com,POST,/api/internal/node/v1/heartbeat,/api/internal/node/v1/heartbeat,2026-04-03,2026-04-03T13:41:19Z,200,2026-04-03T13:41:18Z,200,9e687d79aebc2783
null,null,null,null,hu,45.12.132.94,api.granilink.com,POST,/api/internal/node/v1/heartbeat,/api/internal/node/v1/heartbeat,2026-04-03,2026-04-03T13:41:53Z,200,2026-04-03T13:41:52Z,200,9e687e4d6c6cc63c
null,null,null,null,hu,45.12.132.94,api.granilink.com,GET,/api/internal/node/v1/assignment,/api/internal/node/v1/assignment?node_id=1,2026-04-03,2026-04-03T13:41:29Z,200,2026-04-03T13:41:28Z,200,9e687db6bc8a3009
null,null,null,null,hu,45.12.132.94,api.granilink.com,POST,/api/internal/node/v1/heartbeat,/api/internal/node/v1/heartbeat,2026-04-03,2026-04-03T13:40:17Z,200,2026-04-03T13:40:16Z,200,9e687bf62881df72
null,null,null,null,hu,45.12.132.94,api.granilink.com,POST,/api/internal/node/v1/heartbeat,/api/internal/node/v1/heartbeat,2026-04-03,2026-04-03T13:40:48Z,200,2026-04-03T13:40:48Z,200,9e687cbabc66f9a0
null,null,null,null,hu,45.12.132.94,api.granilink.com,POST,/api/internal/node/v1/heartbeat,/api/internal/node/v1/heartbeat,2026-04-03,2026-04-03T13:39:47Z,200,2026-04-03T13:39:46Z,200,9e687b39ddcb2790
null,null,null,null,hu,45.12.132.94,api.granilink.com,GET,/api/internal/node/v1/assignment,/api/internal/node/v1/assignment?node_id=1,2026-04-03,2026-04-03T13:39:53Z,200,2026-04-03T13:39:52Z,200,9e687b5fceeaf99a
null,null,null,null,hu,45.12.132.94,api.granilink.com,POST,/api/internal/node/v1/heartbeat,/api/internal/node/v1/heartbeat,2026-04-03,2026-04-03T13:39:14Z,200,2026-04-03T13:39:13Z,200,9e687a6bfdf4d935
null,null,null,null,hu,45.12.132.94,api.granilink.com,POST,/api/internal/node/v1/heartbeat,/api/internal/node/v1/heartbeat,2026-04-03,2026-04-03T13:38:06Z,200,2026-04-03T13:38:05Z,200,9e6878c2eba3f9a0
null,null,null,null,hu,45.12.132.94,api.granilink.com,GET,/api/internal/node/v1/assignment,/api/internal/node/v1/assignment?node_id=1,2026-04-03,2026-04-03T13:38:20Z,200,2026-04-03T13:38:19Z,200,9e687918ce2058b7
null,null,null,null,hu,45.12.132.94,api.granilink.com,POST,/api/internal/node/v1/heartbeat,/api/internal/node/v1/heartbeat,2026-04-03,2026-04-03T13:38:39Z,200,2026-04-03T13:38:38Z,200,9e6879912a22f96e
null,null,null,null,hu,45.12.132.94,api.granilink.com,POST,/api/internal/node/v1/heartbeat,/api/internal/node/v1/heartbeat,2026-04-03,2026-04-03T13:36:59Z,200,2026-04-03T13:36:58Z,200,9e6877203bbd9829
null,null,null,null,hu,45.12.132.94,api.granilink.com,POST,/api/internal/node/v1/heartbeat,/api/internal/node/v1/heartbeat,2026-04-03,2026-04-03T13:37:32Z,200,2026-04-03T13:37:31Z,200,9e6877edefc7b36c
null,null,null,null,hu,45.12.132.94,api.granilink.com,POST,/api/internal/node/v1/heartbeat,/api/internal/node/v1/heartbeat,2026-04-03,2026-04-03T13:36:24Z,200,2026-04-03T13:36:23Z,200,9e68764568e3b3dc
null,null,null,null,hu,45.12.132.94,api.granilink.com,GET,/api/internal/node/v1/assignment,/api/internal/node/v1/assignment?node_id=1,2026-04-03,2026-04-03T13:36:49Z,200,2026-04-03T13:36:48Z,200,9e6876e0fb90f980
null,null,null,null,hu,45.12.132.94,api.granilink.com,POST,/api/internal/node/v1/heartbeat,/api/internal/node/v1/heartbeat,2026-04-03,2026-04-03T13:35:49Z,200,2026-04-03T13:35:48Z,200,9e68756abeb8b605
null,null,null,null,hu,45.12.132.94,api.granilink.com,POST,/api/internal/node/v1/heartbeat,/api/internal/node/v1/heartbeat,2026-04-03,2026-04-03T13:34:44Z,200,2026-04-03T13:34:43Z,200,9e6873d23c6ab3dc
null,null,null,null,hu,45.12.132.94,api.granilink.com,GET,/api/internal/node/v1/assignment,/api/internal/node/v1/assignment?node_id=1,2026-04-03,2026-04-03T13:35:09Z,200,2026-04-03T13:35:08Z,200,9e6874703e72f996
null,null,null,null,hu,45.12.132.94,api.granilink.com,POST,/api/internal/node/v1/heartbeat,/api/internal/node/v1/heartbeat,2026-04-03,2026-04-03T13:35:18Z,200,2026-04-03T13:35:17Z,200,9e6874a8dd3e58b7
null,null,null,null,hu,45.12.132.94,api.granilink.com,POST,/api/internal/node/v1/heartbeat,/api/internal/node/v1/heartbeat,2026-04-03,2026-04-03T13:33:38Z,200,2026-04-03T13:33:37Z,200,9e687234fb2780e8
null,null,null,null,hu,45.12.132.94,api.granilink.com,POST,/api/internal/node/v1/heartbeat,/api/internal/node/v1/heartbeat,2026-04-03,2026-04-03T13:34:09Z,200,2026-04-03T13:34:08Z,200,9e6872f9a8fbf970
null,null,null,null,hu,45.12.132.94,api.granilink.com,POST,/api/internal/node/v1/heartbeat,/api/internal/node/v1/heartbeat,2026-04-03,2026-04-03T13:32:30Z,200,2026-04-03T13:32:30Z,200,9e6870907ac6f98c
null,null,null,null,hu,45.12.132.94,api.granilink.com,GET,/api/auth/me,/api/auth/me,2026-04-03,2026-04-03T13:32:40Z,200,2026-04-03T13:32:40Z,200,9e6870ce281df011
null,null,null,null,hu,45.12.132.94,api.granilink.com,GET,/api/auth/me,/api/auth/me,2026-04-03,2026-04-03T13:32:40Z,200,2026-04-03T13:32:39Z,200,9e6870cc8b28b391
null,null,null,null,hu,45.12.132.94,api.granilink.com,POST,/api/internal/node/v1/heartbeat,/api/internal/node/v1/heartbeat,2026-04-03,2026-04-03T13:33:04Z,200,2026-04-03T13:33:03Z,200,9e6871638ec5f96c
null,null,null,null,fr,51.68.111.214,granilink.com,GET,/robots.txt,/robots.txt,2026-04-03,2026-04-03T13:33:07Z,200,2026-04-03T13:33:07Z,0,9e6871776f1913f4
null,null,null,null,hu,45.12.132.94,api.granilink.com,GET,/api/vpn/devices,/api/vpn/devices,2026-04-03,2026-04-03T13:32:45Z,200,2026-04-03T13:32:44Z,200,9e6870e9c815f97a
null,null,null,null,hu,45.12.132.94,api.granilink.com,GET,/api/vpn/devices,/api/vpn/devices,2026-04-03,2026-04-03T13:32:46Z,200,2026-04-03T13:32:46Z,200,9e6870f3db3df97a
null,null,null,null,hu,45.12.132.94,api.granilink.com,GET,/api/vpn/servers,/api/vpn/servers,2026-04-03,2026-04-03T13:32:40Z,200,2026-04-03T13:32:39Z,200,9e6870cc8cd4b3dc
null,null,null,null,hu,45.12.132.94,api.granilink.com,GET,/api/vpn/devices,/api/vpn/devices,2026-04-03,2026-04-03T13:32:43Z,200,2026-04-03T13:32:42Z,200,9e6870ddcf57f97a
null,null,null,null,hu,45.12.132.94,api.granilink.com,GET,/api/vpn/status,/api/vpn/status?device_id=3d78acc6-fdbf-41cd-98f7-646671a21e94,2026-04-03,2026-04-03T13:32:40Z,200,2026-04-03T13:32:39Z,200,9e6870cc8f796e99
null,null,null,null,hu,45.12.132.94,api.granilink.com,GET,/api/vpn/devices,/api/vpn/devices,2026-04-03,2026-04-03T13:32:54Z,200,2026-04-03T13:32:53Z,200,9e6871229ac9f97a
null,null,null,null,hu,45.12.132.94,api.granilink.com,GET,/api/internal/node/v1/assignment,/api/internal/node/v1/assignment?node_id=1,2026-04-03,2026-04-03T13:33:37Z,200,2026-04-03T13:33:37Z,200,9e687233dbadf98e
null,null,null,null,hu,45.12.132.94,api.granilink.com,POST,/api/internal/node/v1/heartbeat,/api/internal/node/v1/heartbeat,2026-04-03,2026-04-03T13:31:29Z,200,2026-04-03T13:31:28Z,200,9e686f11acf8f98e
null,null,null,null,hu,45.12.132.94,api.granilink.com,GET,/api/auth/me,/api/auth/me,2026-04-03,2026-04-03T13:31:43Z,200,2026-04-03T13:31:43Z,200,9e686f6abecdb34b
null,null,null,null,hu,45.12.132.94,api.granilink.com,GET,/api/vpn/status,/api/vpn/status?device_id=3d78acc6-fdbf-41cd-98f7-646671a21e94,2026-04-03,2026-04-03T13:31:46Z,499,2026-04-03T13:31:43Z,0,9e686f6a39499947
null,null,null,null,hu,45.12.132.94,api.granilink.com,POST,/api/internal/node/v1/heartbeat,/api/internal/node/v1/heartbeat,2026-04-03,2026-04-03T13:31:59Z,200,2026-04-03T13:31:59Z,200,9e686fd05bb6b34d
null,null,null,null,hu,45.12.132.94,api.granilink.com,GET,/api/internal/node/v1/assignment,/api/internal/node/v1/assignment?node_id=1,2026-04-03,2026-04-03T13:32:00Z,200,2026-04-03T13:31:59Z,200,9e686fd329e98c98
null,null,null,null,hu,45.12.132.94,api.granilink.com,POST,/api/vpn/logs/send,/api/vpn/logs/send,2026-04-03,2026-04-03T13:32:01Z,202,2026-04-03T13:32:00Z,202,9e686fd9ccd8b190
